id_station;name_station;nama_propinsi;nama_kota;kecamatan;kelurahan;latt_station;long_station;elv_station;status_operasional;hp_petugas;tgl_pasang;addr_instansi;data_transport;instansi;nama_vendor
STA3038;AAWS Tabalong;Kalimantan Selatan;Kab Tabalong;Tanjung;Hikun;-2.13;115.39;21;operasional;81348236885;1/1/2012;Desa Hikun, Tanjung, Tabalong 71571,;FTP;BPP Tanjung;BMKG-MSP
AAWS0337;AAWS Pandih Batu;Kalimantan Tengah;Kab Pulang Pisau;Pande Batu;;-3.06;114.15;0;operasional;81351593786;9/13/2016;-;FTP;Kantor BPP Pangkeh;Microsep-MIS
STA3040;AAWS Katingan;Kalimantan Tengah;Kab Katingan;Tumbang Samba;Samba Kahayan;-1.47;113.08;17;operasional;85652431090;9/10/2016;;;UPBU Tumbang Samba;BMKG-MSP
STA3041;AAWS Kotawaringin Timur;Kalimantan Tengah;Kab Kotawaringin Timur;Mentawa Baru Ketapang;Pelangsian;-2.61;112.96;10;operasional;85386205536;9/10/2016;;FTP;BKPP Pemkab Kota Waringin Timur, BPP Pelangsian;BMKG-MSP
STA3042;AAWS Hanau Seruyan;Kalimantan Tengah;Kab Seruyan;Danau Seluluk;Asam Baru;-2.38;112.25;14;operasional;81352705028;9/10/2016;;FTP;BPP;BMKG-MSP
STA3043;AAWS Barito Timur;Kalimantan Tengah;Kab Barito Timur;Dusun Tengah;Rodok;-1.81;115.16;20;operasional;81351890580;9/10/2016;;FTP;UPT B3P Dusun Tengah;BMKG-MSP
STA3039;AAWS Penajam Paser Utara;Kalimantan Timur;Kab Penajam Paser Utara;Petung;Waru;-1.36;116.66;5;operasional;6.28135E+12;9/13/2016;;FTP;BPP Penajam;BMKG-Casella
AAWS0310;AAWS Toboali;Kepulauan Bangka Belitung;Kab Bangka Selatan;Toboali;Rias;-2.97;106.44;85;operasional;81918948434;12/3/2012;Jl. Raya Rias, Desa Rias, Kec.Toboali, Kab. Bangka Selatan;FTP;BPP RIAS;Microsep-MIS
AAWS0312;AAWS Tanggamus;Lampung;Kab Tanggamus;Kota Agung;Kp.Baru;-5.48;104.68;314;operasional;85377973510;9/13/2016;Komplek Pemda Kota Agung;FTP;Pemda Kota Agung;Microsep-MIS
AAWS0313;AAWS Seputih Raman;Lampung;Kab Lampung Tengah;Seputih Raman;Seputih Raman;-4.95;105.35;50;operasional;85279297667;9/13/2016;Seputih Raman;FTP;BPP Seputih Raman;Microsep-MIS
AAWS0314;AAWS Sidomulyo;Lampung;Kab Lampung Selatan;Sidomulyo;Sidodadi;-5.60;105.56;52;operasional;85838315881;9/13/2016;-;FTP;BPP Kecamatan Sidomulyo;Microsep-MIS
AAWS0343;AAWS Mesuji;Lampung;Kab Mesuji;Mesuji Timur;Sidomulyo;-3.89;105.43;34;operasional;85267476735;9/13/2016;Mesuji;FTP;Kantor BP3K Kecamatan Mesuji;Microsep-MIS
STA3045;AAWS Pringsewu;Lampung;Kab Pesawaran;Gading Rejo;Wates;-5.37;105.01;50;operasional;85758940172;9/10/2016;;FTP;Lab Proteksi Tanaman Pangan dan Hortikultura;Theis
STA3031;AAWS Peureulak;Nanggroe Aceh Darusalam;Kab Aceh Timur;Peureulak;Beusa Merano;4.83;97.89;6;operasional;85276200598;9/13/2016;Jl.Banda Aceh-Medan Km. 393;FTP;Laboratorium PHP Peureulak;BMKG-MSP
STA3208;AAWS Kutacane;Nanggroe Aceh Darusalam;Kab Aceh Tenggara;Badar;;3.52;97.78;221;operasional;82362282937;9/3/2016;Dinas Pertanian Aceh Tenggara;FTP;Dinas Pertanian Aceh Tenggara;Theis
STA3225;AAWS Nagan Raya;Nanggroe Aceh Darusalam;Kab Nagan Raya;Kuala;;4.09;96.28;11;operasional;85260473599;9/10/2016;BPP Pulo Ie;FTP;BPP Pulo Ie;Theis
STA3227;AAWS Peudada;Nanggroe Aceh Darusalam;Kab Bireun;Peudada;;5.20;96.59;8;operasional;81263332400;9/10/2016;BP3K Peudada;FTP;BP3K Peudada;Theis
AAWS0339;AAWS Sambelia;Nusa Tenggara Barat;Kab Lombok Timur;Sambelia;;-8.38;116.69;133.7;operasional;85259387056;1/1/2013;-;FTP;BBU Sambelia;Microsep-MIS
STA3028;AAWS Taliwang;Nusa Tenggara Barat;Kab Sumbawa Barat;Taliwang;;-8.76;116.85;12;operasional;82340709756;1/1/2012;komplek KTC;FTP;BP4K TALIWANG;BMKG-MSP
STA3029;AAWS Sumbawa;Nusa Tenggara Barat;Kab Sumbawa;Utan;Stowe Brang;-8.42;117.12;27;operasional;82340138600;1/1/2011;;FTP;BP3K Kec.Utan;BMKG-MSP
STA3030;AAWS Dompu;Nusa Tenggara Barat;Kab Dompu;Woja;Montebaru;-8.55;118.43;16;operasional;85238181098;1/1/2012;JL Diponegoro 19.;FTP;BBU Padi Montebaru;BMKG-MSP
STA4001;AAWS Staklim Lombok Barat;Nusa Tenggara Barat;Kab Lombok Barat;Kediri;Montong Are;-8.64;116.17;52;operasional;89678433313;1/1/2014;Jl. TGH Ibrahim Khalidy Kediri;FTP;BMKG;BMKG-Campbell
AAWS0347;AAWS Lembor;Nusa Tenggara Timur;Kab Manggarai Barat;Lembor;;-8.71;120.17;116;operasional;81237329077;9/13/2016;-;FTP;UPTB-BP3K Lembor;Microsep-MIS
STA3025;AAWS Oelbubuk;Nusa Tenggara Timur;Kab Timor Tengah Selatan;Amanuban Selatan;Oelbubuk;-10.09;124.23;60;operasional;81236577001;9/13/2016;DS. Oelbubuk;FTP;BBHK Timor tengah selatan;Theis
STA3027;AAWS Waingapu;Nusa Tenggara Timur;Kab Sumba Timur;Umalulu;Mutunggeding;-9.84;120.64;47;operasional;81339149598;10/16/2018;Melolo,Umalulu;FTP;BP3K-MELOLO;BMKG-MSP
14083224;AAWS Tanah Miring (AWS Plus );Papua;Kab Merauke;Tanah Miring;Garsa Mulya;-8.39;140.52;6;operasional;81247860558;8/6/2014;Jl. Tanah Miring;FTP;BMKG;Theis
STA3268;AAWS Koya Barat;Papua;Kab Jayapura;Muara Tami;;-2.68;140.80;82;operasional;81230028624;9/10/2016;;FTP;Dinas Tanaman Pangan dan Holtikultura;BMKG-LSI
AAWS0356;AAWS Gunung Toar Kuantan Singingi;Riau;Kab Kuantan Singingi;Gunung Toar;Kilian Jao;-0.60;101.49;100;operasional;81392045400;9/13/2012;Jl. Lintas Kuantan Singingi;FTP;BPP Gunung Toar;Microsep-MIS
STA3202;AAWS Tambang Kampar;Riau;Kab Kampar;Tambang;Lipat Kain;0.41;101.22;9;operasional;81338968352;9/10/2016;;FTP;BMKG;Theis
STA3203;AAWS Rimba Melintang Rokan Hilir;Riau;Kab Rokan Hilir;Rimba Melintang;Rimba Melintang;1.85;100.98;15;operasional;82389594665;9/10/2016;;FTP;BPP Rokan Hilir;Theis
AAWS0329;AAWS Polewali Mandar;Sulawesi Barat;Kab Polewali Mamasa;Binuang ;Tonyaman ;-3.45;119.37;4;operasional;85255800425;9/13/2016;Kantor BPP Tonyaman Desa.Tonyaman Kec.Binuang Kab.Polewalimandar;FTP;Kantor BPP Tonyaman;Microsep-MIS
AAWS0330;AAWS Batukaroppa;Sulawesi Selatan;Kab Bulukumba;Rilau Ale;Tanah Harapan;-5.47;120.21;80.6;operasional;85299171038;9/13/2016;-;FTP;Stasiun Klimatologi Sulawesi Selatan;Microsep-MIS
AAWS0331;AAWS Bengo;Sulawesi Selatan;Kab Bone;Bengo;Seli;-4.62;120.02;10;operasional;85348642700;9/13/2016;-;FTP;Stasiun Klimatologi Sulawesi Selatan;Microsep-MIS
AAWS0332;AAWS Bontouse;Sulawesi Selatan;Kab Wajo;Tanasitolo;Tancung ;-4.05;120.03;26;operasional;81230847533;9/13/2016;-;FTP;Stasiun Klimatologi Sulawesi Selatan;Microsep-MIS
AAWS0333;AAWS Bajo;Sulawesi Selatan;Kab Luwu;Bajo ;Jambu;-3.37;120.31;32.8;operasional;85348799968;9/13/2016;-;FTP;Stasiun Klimatologi Sulawesi Selatan;Microsep-MIS
AAWS0340;AAWS Rappang;Sulawesi Selatan;Kab Sidenreng Rappang;Panca Rijang;;-3.85;119.83;25;operasional;85394094808;9/13/2016;--;FTP;Stasiun Klimatologi Sulawesi Selatan;Microsep-MIS
STA3047;AAWS Jeneponto;Sulawesi Selatan;Kab Jeneponto;Binamu;Balang Toa;-5.67;119.73;11;operasional;82399206285;9/10/2016;;FTP;Stasiun Klimatologi Sulawesi Selatan;BMKG-MSP
AAWS0326;AAWS Donggala;Sulawesi Tengah;Kab Donggala;Sojol;Tonggolobibi ;0.48;119.97;20;operasional;82292290118;9/13/2016;-;FTP;Kantor Desa Tonggolobibi;Microsep-MIS
AAWS0327;AAWS Luwuk Banggai;Sulawesi Tengah;Kab Banggai;Toili;;-1.46;122.34;30;operasional;81355133995;9/13/2016;-;FTP;LPHP;Microsep-MIS
AAWS0328;AAWS Parigi Moutong;Sulawesi Tengah;Kab Parigi Mountong;Torue;Wonosari;-0.99;120.31;22;operasional;81245036653;9/13/2016;-;FTP;-;Microsep-MIS
AAWS0341;AAWS Sidondo;Sulawesi Tengah;Kab Sigi;Biromaru;Sidondo;-1.11;119.91;20;operasional;82290430335;9/13/2016;-;FTP;Kebun Percobaan Sidondo;Microsep-MIS
AAWS0334;AAWS Mowila;Sulawesi Tenggara;Kab Konawe Selatan;Mowila;Mulyasar;-4.10;122.24;60;operasional;81245823295;9/13/2016;-;FTP;Kantor BP3K Mowila;Microsep-MIS
AAWS0335;AAWS Ngapaaha;Sulawesi Tenggara;Kab Konawe Selatan;Tinanggea; Ngapaaha;-4.46;122.21;0;operasional;85241586655;9/13/2016;-;FTP;Kantor BP3K Ngapaha;Microsep-MIS
AAWS0324;AAWS Pinogaluman;Sulawesi Utara;Kab Bolaaang Mongodow Utara;Pinogaluman ;Desa.Tontulaw ;0.91;123.13;5;operasional;85240830848;9/13/2016;Pinagoluman Desa Tontulaw;FTP;BPP Pinogaluman;Microsep-MIS
STA3033;AAWS Bolaang Mongondow;Sulawesi Utara;Kab Bolaaang Mongondow;Mopuya Utara;Dumuga 1;0.57;123.98;156;operasional;85340365290;9/13/2016;Jl. Trans sulawesi;FTP;TEWS BMKG;BMKG-MSP
STA3204;AAWS GAW Bukit Kototabang;Sumatera Barat;Kab Agam;Palupuh;Palupuh;-0.20;100.32;851;operasional;81258466974;9/10/2016;Jl. Raya Bukittinggi - Medan Km. 17;FTP;Sta GAW Bukit Koto Tabang;Theis
STA3205;AAWS Staklim Padang Pariaman;Sumatera Barat;Kab Padang Pariaman;Kayu Tanam;Kapalo Hilalang;-0.55;100.30;128;operasional;85375456935;9/10/2016;Jl.Raya Padang - Bukittinggi Km. 51;FTP;Stasiun Klimatologi Padang Pariaman;Theis
STA3211;AAWS Balitbu Sumani;Sumatera Barat;Kab Solok;X Koto Singkarak;Sumani;-0.72;100.60;383;operasional;81374418830;9/10/2016;Jl. Raya Solok - Sumani;FTP;Balitbu Sumani;Theis
AAWS0315;AAWS Belitang;Sumatera Selatan;Kab Oku Timur;Belitang;Gumawang BK 10 ;-4.11;104.76;57;operasional;82184759899;9/13/2016;Gumawang BK 10;FTP;Lab.Pengamat hama ;Microsep-MIS
AAWS0316;AAWS Muara Enim;Sumatera Selatan;Kab Muara Enim;Muara Enim;;-3.65;103.78;41;operasional;83134193289;9/13/2016;Muara Enim;FTP;Dinas Tanaman Pangan Dan Hortikultura;Microsep-MIS
AAWS0317;AAWS Pagar Alam;Sumatera Selatan;Kota Pagar Alam;Pagar Alam Utara;Alun Dua;-4.04;103.27;707;operasional;85357574854;9/13/2016;-;FTP;Dinas Pertanian Pagar Alam;Microsep-MIS
STA3046;AAWS Ogan Komering Ilir;Sumatera Selatan;Kab Ogan Komering Ilir;Kayu Agung;Sidakersa;-3.40;104.84;22;operasional;85267817240;9/10/2016;;FTP;BPTP Kabupaten OKI;BMKG-MSP
STA3032;AAWS Deli Serdang;Sumatera Utara;Kab Deliserdang;Pagar Merbau;Pasar Miring;3.50;98.91;8;operasional;81265500678;9/13/2016;Jl.Raya Galang Km. 8 Lubuk Pakam Deli Serdang;FTP;BPTP Pasar Miring;BMKG-MSP
STA3209;AAWS Batu Bara;Sumatera Utara;Kab Batubara;Air Putih;Indra Sakti;3.30;99.37;62;operasional;81361324447;9/10/2016;Jl. H. Barus Siregar;FTP;Dinas Pertanian Kab Batubara;Theis
STA3212;AAWS Hinai Langkat;Sumatera Utara;Kab Langkat;Hinai;Cempa;3.88;98.42;23;operasional;85371769828;9/10/2016;BPP Langkat;FTP;BPP Hinai;Theis
